Reed+Zoheyr,JessicaNathan,Srihari,Will C. ,Gigi/Max,Olina/Jen,Palash,Alex & Viraj,Andy,Jacob & Niall,Will and Jack
0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
0.365,0.365,0.365,0.36,0.3597,0.362,0.36,0.36,0.362,0.36,0.36
0.372,0.37,0.37,0.369,0.3625,0.37,0.363,0.37,0.372,0.368,0.37
0.38,0.38,0.38,0.38,0.3694,0.38,0.365,0.381,0.383,0.376,0.377
0.39,0.39,0.39,0.385,0.3806,0.39,0.37,0.39,0.39,0.383,0.385
0.397,0.395,0.398,0.396,0.3947,0.397,0.38,0.397,0.405,0.389,0.39
0.404,0.403,0.403,0.402,0.3972,0.405,0.39,0.405,0.41,0.395,0.405
0.41,0.409,0.408,0.41,0.4056,0.412,0.398,0.41,0.414,0.4,0.41
0.415,0.413,0.412,0.414,0.4111,0.417,0.403,0.413,0.418,0.404,0.416
0.42,0.416,0.417,0.417,0.4153,0.42,0.409,0.416,0.421,0.42,0.42
,,,,,,0.414,0.418,,,
,,,,,,0.42,,,,